step,explore_rate_all,explore_rate_free,known_cells_all,total_cells_all,known_cells_free,total_cells_free,r0_type,r0_id,r0_x,r0_y,r1_type,r1_id,r1_x,r1_y,r2_type,r2_id,r2_x,r2_y,r3_type,r3_id,r3_x,r3_y,r4_type,r4_id,r4_x,r4_y,r5_type,r5_id,r5_x,r5_y,sig_0_1,conn_0_1,strong_0_1,sig_0_2,conn_0_2,strong_0_2,sig_0_3,conn_0_3,strong_0_3,sig_0_4,conn_0_4,strong_0_4,sig_0_5,conn_0_5,strong_0_5,sig_1_0,conn_1_0,strong_1_0,sig_1_2,conn_1_2,strong_1_2,sig_1_3,conn_1_3,strong_1_3,sig_1_4,conn_1_4,strong_1_4,sig_1_5,conn_1_5,strong_1_5,sig_2_0,conn_2_0,strong_2_0,sig_2_1,conn_2_1,strong_2_1,sig_2_3,conn_2_3,strong_2_3,sig_2_4,conn_2_4,strong_2_4,sig_2_5,conn_2_5,strong_2_5,sig_3_0,conn_3_0,strong_3_0,sig_3_1,conn_3_1,strong_3_1,sig_3_2,conn_3_2,strong_3_2,sig_3_4,conn_3_4,strong_3_4,sig_3_5,conn_3_5,strong_3_5,sig_4_0,conn_4_0,strong_4_0,sig_4_1,conn_4_1,strong_4_1,sig_4_2,conn_4_2,strong_4_2,sig_4_3,conn_4_3,strong_4_3,sig_4_5,conn_4_5,strong_4_5,sig_5_0,conn_5_0,strong_5_0,sig_5_1,conn_5_1,strong_5_1,sig_5_2,conn_5_2,strong_5_2,sig_5_3,conn_5_3,strong_5_3,sig_5_4,conn_5_4,strong_5_4
0,0.0440625,0.052673904302372336,282,6400,262,4974,0,0,11,10,0,1,9,10,0,2,8,9,1,3,8,15,1,4,10,10,1,5,10,13,24.0,1,1,23.0,1,1,21.0,1,1,20.0,1,1,23.0,1,1,24.0,1,1,20.0,1,1,21.0,1,1,20.0,1,1,23.0,1,1,23.0,1,1,20.0,1,1,20.0,1,1,24.0,1,1,22.0,1,1,21.0,1,1,21.0,1,1,20.0,1,1,21.0,1,1,24.0,1,1,20.0,1,1,20.0,1,1,24.0,1,1,21.0,1,1,23.0,1,1,23.0,1,1,23.0,1,1,22.0,1,1,24.0,1,1,23.0,1,1
1,0.0740625,0.0854443104141536,474,6400,425,4974,0,0,14,8,0,1,12,12,0,2,11,12,1,3,14,21,1,4,16,6,1,5,16,7,14.0,1,1,10.0,1,1,5.0,1,1,24.0,1,1,24.0,1,1,10.0,1,1,20.0,1,1,9.0,1,1,12.0,1,1,17.0,1,1,10.0,1,1,20.0,1,1,9.0,1,1,8.0,1,1,13.0,1,1,5.0,1,1,9.0,1,1,9.0,1,1,3.0,1,0,4.0,1,1,24.0,1,1,12.0,1,1,12.0,1,1,3.0,1,0,20.0,1,1,24.0,1,1,17.0,1,1,13.0,1,1,4.0,1,1,20.0,1,1
2,0.11203125,0.12706071572175312,717,6400,632,4974,0,0,17,11,0,1,15,15,0,2,14,15,1,3,20,27,1,4,22,6,1,5,22,13,22.0,1,1,22.0,1,1,2.0,1,0,21.0,1,1,21.0,1,1,22.0,1,1,20.0,1,1,6.0,1,1,13.0,1,1,19.0,1,1,22.0,1,1,20.0,1,1,6.0,1,1,17.0,1,1,18.0,1,1,2.0,1,0,6.0,1,1,6.0,1,1,0.0,1,0,4.0,1,1,21.0,1,1,13.0,1,1,17.0,1,1,0.0,1,0,3.0,1,0,21.0,1,1,19.0,1,1,18.0,1,1,4.0,1,1,3.0,1,0
3,0.14578125,0.1646562123039807,933,6400,819,4974,0,0,20,12,0,1,18,17,0,2,11,18,1,3,26,33,1,4,28,6,1,5,28,19,21.0,1,1,17.0,1,1,0.0,1,0,6.0,1,1,18.0,1,1,21.0,1,1,7.0,1,1,0.0,1,0,7.0,1,1,0.0,1,0,17.0,1,1,7.0,1,1,3.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,3.0,1,0,0.0,1,0,0.0,1,0,6.0,1,1,7.0,1,1,0.0,1,0,0.0,1,0,13.0,1,1,18.0,1,1,0.0,1,0,0.0,1,0,0.0,1,0,13.0,1,1
4,0.18796875,0.21391234418978688,1203,6400,1064,4974,0,0,23,15,0,1,21,20,0,2,8,21,1,3,20,39,1,4,34,8,1,5,34,25,13.0,1,1,0.0,1,0,0.0,1,0,15.0,1,1,11.0,1,1,13.0,1,1,13.0,1,1,7.0,1,1,5.0,1,1,13.0,1,1,0.0,1,0,13.0,1,1,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,7.0,1,1,0.0,1,0,0.0,1,0,0.0,1,0,15.0,1,1,5.0,1,1,0.0,1,0,0.0,1,0,1.0,1,0,11.0,1,1,13.0,1,1,0.0,1,0,0.0,1,0,1.0,1,0
5,0.22828125,0.2635705669481303,1461,6400,1311,4974,0,0,26,17,0,1,24,22,0,2,5,24,1,3,14,43,1,4,40,14,1,5,40,19,13.0,1,1,0.0,1,0,0.0,1,0,12.0,1,1,12.0,1,1,13.0,1,1,7.0,1,1,5.0,1,1,10.0,1,1,10.0,1,1,0.0,1,0,7.0,1,1,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,5.0,1,1,0.0,1,0,0.0,1,0,0.0,1,0,12.0,1,1,10.0,1,1,0.0,1,0,0.0,1,0,21.0,1,1,12.0,1,1,10.0,1,1,0.0,1,0,0.0,1,0,21.0,1,1
6,0.27984375,0.32127060715721756,1791,6400,1598,4974,0,0,29,14,0,1,27,25,0,2,3,27,1,3,20,49,1,4,46,8,1,5,46,25,15.0,1,1,0.0,1,0,0.0,1,0,0.0,1,0,9.0,1,1,15.0,1,1,0.0,1,0,0.0,1,0,7.0,1,1,7.0,1,1,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,7.0,1,1,0.0,1,0,0.0,1,0,9.0,1,1,9.0,1,1,7.0,1,1,0.0,1,0,0.0,1,0,9.0,1,1
7,0.3159375,0.3606755126658625,2022,6400,1794,4974,0,0,32,11,0,1,30,26,0,2,4,30,1,3,17,55,1,4,52,14,1,5,52,31,11.0,1,1,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,11.0,1,1,0.0,1,0,0.0,1,0,4.0,1,1,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,4.0,1,1,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0
8,0.36359375,0.4149577804583836,2327,6400,2064,4974,0,0,35,8,0,1,32,26,0,2,4,33,1,3,11,60,1,4,58,8,1,5,46,37,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,4.0,1,1,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,4.0,1,1,0.0,1,0,0.0,1,0,0.0,1,0
9,0.41625,0.4758745476477684,2664,6400,2367,4974,0,0,38,8,0,1,35,29,0,2,4,36,1,3,17,66,1,4,64,14,1,5,41,43,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,4.0,1,1,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,4.0,1,1,0.0,1,0,0.0,1,0,0.0,1,0
